epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.86926484,0.86926484,0.30545519223629364,0.89648324,0.89648324,0.24556236922086322
1,0.9054705,0.9054705,0.2305884955138576,0.8961327,0.8961327,0.2533710139680304
2,0.9138751,0.9138751,0.21212158301729203,0.92405653,0.92405653,0.19005574192492702
3,0.9233864,0.9233864,0.19115123392959144,0.9267438,0.9267438,0.182645646784072
4,0.9280971,0.9280971,0.1796308685192838,0.93281925,0.93281925,0.16947267160127757
5,0.93259853,0.93259853,0.16932070661926052,0.93503916,0.93503916,0.1664069460820046
6,0.9355746,0.9355746,0.16320848803065385,0.93433815,0.93433815,0.16909793154831063
7,0.93852067,0.93852067,0.15539064256064009,0.94017994,0.94017994,0.15622541632706533
8,0.94110787,0.94110787,0.14920778388846412,0.94929314,0.94929314,0.13921635662382773
9,0.94429326,0.94429326,0.1417036086816483,0.94870895,0.94870895,0.13352830760218598
10,0.94650656,0.94650656,0.13690090270564445,0.94473654,0.94473654,0.13960068154384117
11,0.9490489,0.9490489,0.1304791177311939,0.9425166,0.9425166,0.1565236727182505
12,0.95012563,0.95012563,0.1278819551541773,0.94800794,0.94800794,0.13395627640394048
13,0.95241374,0.95241374,0.1237728920790124,0.9503447,0.9503447,0.13050029818863043
14,0.9530717,0.9530717,0.12049473126396548,0.94999415,0.94999415,0.12919347249937713
15,0.95482147,0.95482147,0.11764167329604998,0.9544339,0.9544339,0.11976429651271435
16,0.9564216,0.9564216,0.11331568512834488,0.9543171,0.9543171,0.11835644659486688
17,0.95809656,0.95809656,0.10991646965806628,0.9510457,0.9510457,0.12830639507130567
18,0.95790213,0.95790213,0.10918956255033169,0.9524477,0.9524477,0.128903012347601
19,0.9579171,0.9579171,0.10735627219594358,0.9530319,0.9530319,0.12605944749974723
