epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.9052721,0.9052721,0.24064297783670083,0.94715023,0.94715023,0.1448531978581236
1,0.9348934,0.9348934,0.1723832424068383,0.95295334,0.95295334,0.12855879255218208
2,0.940456,0.940456,0.1580907483660973,0.95295334,0.95295334,0.12807956391202355
3,0.9473338,0.9473338,0.14472422965906834,0.95170987,0.95170987,0.12603540188599127
4,0.9501014,0.9501014,0.13614714215952364,0.9606218,0.9606218,0.11943980035695387
5,0.9561298,0.9561298,0.12225923168737281,0.95792747,0.95792747,0.10419522750485746
6,0.95728064,0.95728064,0.11784826728479139,0.96870464,0.96870464,0.09350576780775051
7,0.9620212,0.9620212,0.10681559153555707,0.97098446,0.97098446,0.08601214252528132
8,0.9633638,0.9633638,0.1028557650192869,0.9711917,0.9711917,0.07817487365378
9,0.9613635,0.9613635,0.10414422441199614,0.973886,0.973886,0.08020344803100114
10,0.96621364,0.96621364,0.09500695812020982,0.9753368,0.9753368,0.07159413056863095
11,0.9676659,0.9676659,0.09299191709301804,0.9732643,0.9732643,0.07689763105845976
12,0.96802217,0.96802217,0.08973118862358813,0.9757513,0.9757513,0.07063199616524685
13,0.96837837,0.96837837,0.08922456257675253,0.9774093,0.9774093,0.06722561204883178
14,0.968899,0.968899,0.08567077799265291,0.97471505,0.97471505,0.07311599138709161
15,0.96985805,0.96985805,0.08449289688065521,0.973886,0.973886,0.06868392056520121
16,0.97133774,0.97133774,0.08231350298310075,0.97616583,0.97616583,0.07218688438670623
17,0.97125554,0.97125554,0.08039805584938131,0.9784456,0.9784456,0.06724387315936733
18,0.9709541,0.9709541,0.08131286815268611,0.9788601,0.9788601,0.06148710393925907
19,0.9723516,0.9723516,0.0760117931700902,0.97927463,0.97927463,0.06337017412729311
