epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.94566905,0.94566905,0.1545313980055763,0.9716088,0.9716088,0.08432209108841797
1,0.9700006,0.9700006,0.09503711906408319,0.97978735,0.97978735,0.06891380030044204
2,0.97212416,0.97212416,0.08461196297329422,0.9796705,0.9796705,0.06027258430683894
3,0.97411317,0.97411317,0.07833064556756487,0.9787358,0.9787358,0.06717136821079878
4,0.97614706,0.97614706,0.0718641811995725,0.9806052,0.9806052,0.0572034385462696
5,0.97708917,0.97708917,0.06859806229845032,0.98329246,0.98329246,0.05114658847116069
6,0.9772387,0.9772387,0.06597837342888967,0.9818904,0.9818904,0.054751216751238334
7,0.9799007,0.9799007,0.060664294206558424,0.98037153,0.98037153,0.05879542615263784
8,0.98027456,0.98027456,0.05878349016397423,0.98457766,0.98457766,0.047657557528234
9,0.98103726,0.98103726,0.05610811514613906,0.9835261,0.9835261,0.04895565200847642
10,0.9819794,0.9819794,0.05302555617414116,0.9841103,0.9841103,0.047367156771584984
11,0.9822935,0.9822935,0.050662745075361504,0.9815399,0.9815399,0.0513111833766817
12,0.9832207,0.9832207,0.04974839669225703,0.9841103,0.9841103,0.050514517553532146
13,0.9845666,0.9845666,0.046076110059206796,0.98329246,0.98329246,0.046664290893931176
14,0.9846713,0.9846713,0.04469413072737223,0.9839935,0.9839935,0.04949105136440977
15,0.98514986,0.98514986,0.04409437389878201,0.98516184,0.98516184,0.044641984964852346
16,0.9861219,0.9861219,0.04163781118757568,0.98504496,0.98504496,0.04762273007535504
17,0.9865407,0.9865407,0.03964589253695723,0.9859797,0.9859797,0.04528653233595308
18,0.9864958,0.9864958,0.039214597736088805,0.98527867,0.98527867,0.0454669402179981
19,0.98752767,0.98752767,0.03775128636852583,0.98644704,0.98644704,0.0427966526203616
