epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.8379045,0.8379045,0.3649836190260148,0.8789578,0.8789578,0.28475135670656465
1,0.8776994,0.8776994,0.29125395318894476,0.8956654,0.8956654,0.2537254991514937
2,0.889409,0.889409,0.26683181518304505,0.9006893,0.9006893,0.24557952731516974
3,0.8973201,0.8973201,0.25069471594623,0.90781635,0.90781635,0.22762926658440283
4,0.90238976,0.90238976,0.239739007552132,0.8996378,0.8996378,0.23833170564169917
5,0.9071753,0.9071753,0.22829126160313953,0.8989368,0.8989368,0.25646895684153
6,0.9113627,0.9113627,0.21970095288855482,0.89776844,0.89776844,0.2517969222015303
7,0.91365075,0.91365075,0.2146427559025045,0.9173969,0.9173969,0.20679960599819178
8,0.9154902,0.9154902,0.20774760683034108,0.9145928,0.9145928,0.21490695764335577
9,0.9171053,0.9171053,0.20350074763698656,0.91961676,0.91961676,0.1966156980295036
10,0.9191691,0.9191691,0.19901499221176167,0.92300504,0.92300504,0.19628701675807306
11,0.9211581,0.9211581,0.19497471314023654,0.92171985,0.92171985,0.19275400630119094
12,0.92307234,0.92307234,0.1914702092869584,0.9220703,0.9220703,0.19454647644523818
13,0.92413414,0.92413414,0.18833969721078458,0.91622853,0.91622853,0.1976572440695381
14,0.92654186,0.92654186,0.18432104976240182,0.92767847,0.92767847,0.18631004066037749
15,0.92660165,0.92660165,0.18197639736440996,0.9199673,0.9199673,0.19985548504596143
16,0.92706525,0.92706525,0.18036119886606855,0.9267438,0.9267438,0.18806928810842516
17,0.92893463,0.92893463,0.17732890147804722,0.9179811,0.9179811,0.20836670948221855
18,0.92957765,0.92957765,0.17512931403338913,0.92405653,0.92405653,0.18945431130409296
19,0.93077403,0.93077403,0.17255483598467222,0.92370605,0.92370605,0.18604929830680064
