epoch,accuracy,categorical_accuracy,loss,val_accuracy,val_categorical_accuracy,val_loss
0,0.9535814,0.9535814,0.13704107074571167,0.9846632,0.9846632,0.05045936005469894
1,0.97566724,0.97566724,0.07723473332609589,0.98445594,0.98445594,0.05170735514785496
2,0.97747576,0.97747576,0.07102645915253768,0.9890155,0.9890155,0.03980070950974918
3,0.9790102,0.9790102,0.06666122417520925,0.98362696,0.98362696,0.05065948002001782
4,0.9790925,0.9790925,0.06534760730290956,0.9865285,0.9865285,0.04201297733604599
5,0.98035294,0.98035294,0.0579000648491147,0.9873575,0.9873575,0.040686913428953586
6,0.98207927,0.98207927,0.0546642483426727,0.9832124,0.9832124,0.0486445654334182
7,0.98224366,0.98224366,0.0531058269264767,0.9883938,0.9883938,0.03866066749984582
8,0.9832301,0.9832301,0.04987806360275427,0.98673576,0.98673576,0.04586619373854887
9,0.9828191,0.9828191,0.04950828797831064,0.98756474,0.98756474,0.04030507675203172
10,0.9841344,0.9841344,0.04615600260516947,0.9859067,0.9859067,0.05032658784346259
11,0.98498386,0.98498386,0.04331937706612543,0.9879793,0.9879793,0.0424450515119909
12,0.98550445,0.98550445,0.04114237291028593,0.9896373,0.9896373,0.03932706811600437
13,0.9860251,0.9860251,0.03865702493676446,0.9863213,0.9863213,0.04327183413353068
14,0.98728555,0.98728555,0.036286077715150425,0.98818654,0.98818654,0.04707614138703118
15,0.9871486,0.9871486,0.035959678799854976,0.98756474,0.98756474,0.03662997967606999
16,0.9873678,0.9873678,0.03443439353472091,0.98507774,0.98507774,0.04839193538120837
17,0.9874774,0.9874774,0.033503957801168396,0.9873575,0.9873575,0.043209960571311684
18,0.98868304,0.98868304,0.030929696807035438,0.98673576,0.98673576,0.04525430233126091
19,0.9887653,0.9887653,0.029052651910257386,0.98777205,0.98777205,0.04377358751279818
0,0.9568148255348206,0.9568148255348206,0.12744145095348358,0.9811398983001709,0.9811398983001709,0.061156339943408966
0,0.9599112272262573,0.9599112272262573,0.12714038789272308,0.9809326529502869,0.9809326529502869,0.05867810547351837
1,0.9729544520378113,0.9729544520378113,0.08433743566274643,0.984455943107605,0.984455943107605,0.06292032450437546
2,0.9757768511772156,0.9757768511772156,0.08028881251811981,0.987150251865387,0.987150251865387,0.0459158793091774
3,0.9779415726661682,0.9779415726661682,0.06904889643192291,0.9852849841117859,0.9852849841117859,0.04714129865169525
4,0.9791746735572815,0.9791746735572815,0.06424335390329361,0.985699474811554,0.985699474811554,0.04768429324030876
5,0.9804351329803467,0.9804351329803467,0.060843437910079956,0.9838342070579529,0.9838342070579529,0.052211321890354156
6,0.9806269407272339,0.9806269407272339,0.0573287196457386,0.984455943107605,0.984455943107605,0.05532320961356163
7,0.9818326234817505,0.9818326234817505,0.05652627348899841,0.9877720475196838,0.9877720475196838,0.046790286898612976
8,0.9823258519172668,0.9823258519172668,0.052662260830402374,0.98860102891922,0.98860102891922,0.04333570599555969
9,0.9835315346717834,0.9835315346717834,0.049866024404764175,0.9794818758964539,0.9794818758964539,0.05720173567533493
10,0.9833397269248962,0.9833397269248962,0.049154456704854965,0.986113965511322,0.986113965511322,0.04612552374601364
11,0.9842987656593323,0.9842987656593323,0.045175082981586456,0.987357497215271,0.987357497215271,0.043998073786497116
12,0.9844905734062195,0.9844905734062195,0.044621944427490234,0.9850777387619019,0.9850777387619019,0.047974102199077606
13,0.9846824407577515,0.9846824407577515,0.043976373970508575,0.9881865382194519,0.9881865382194519,0.03982694074511528
14,0.9855318665504456,0.9855318665504456,0.04027095437049866,0.981761634349823,0.981761634349823,0.05432536080479622
15,0.9858332872390747,0.9858332872390747,0.03983737900853157,0.9867357611656189,0.9867357611656189,0.040572356432676315
16,0.9866827130317688,0.9866827130317688,0.03622196987271309,0.9865285158157349,0.9865285158157349,0.04602530971169472
17,0.986545741558075,0.986545741558075,0.03782350942492485,0.9867357611656189,0.9867357611656189,0.04233027249574661
18,0.986956775188446,0.986956775188446,0.03471876680850983,0.987564742565155,0.987564742565155,0.04319204017519951
19,0.987395167350769,0.987395167350769,0.034395795315504074,0.987150251865387,0.987150251865387,0.04203493893146515
